Keterangan,Rata-rata laju perubahan
Capaian TPB,4.79 %/tahun
Business as Usual,0.62 %/tahun
Upaya Tambahan berdasarkan Kondisi Daerah,1.5 %/tahun
Upaya Tambahan dengan Green Growth Plan,3.0 %/tahun
