Keterangan,Rata-rata laju perubahan
Capaian TPB,42.4 %/tahun
Business as Usual,2.31 %/tahun
Upaya Tambahan berdasarkan Kondisi Daerah,-5.05 %/tahun
Upaya Tambahan dengan Green Growth Plan,-10.11 %/tahun
