Keterangan,Rata-rata laju perubahan
Capaian TPB,-0.42 %/tahun
Business as Usual,-0.11 %/tahun
Upaya Tambahan berdasarkan Kondisi Daerah,-0.68 %/tahun
Upaya Tambahan dengan Green Growth Plan,-1.36 %/tahun
