Keterangan,Rata-rata laju perubahan
Capaian TPB,-7.91 %/tahun
Business as Usual,-4.25 %/tahun
Upaya Tambahan berdasarkan Kondisi Daerah,0.79 %/tahun
Upaya Tambahan dengan Green Growth Plan,1.57 %/tahun
