Keterangan,Rata-rata laju perubahan
Capaian TPB,23.82 %/tahun
Business as Usual,0.46 %/tahun
Upaya Tambahan berdasarkan Kondisi Daerah,0.28 %/tahun
Upaya Tambahan dengan Green Growth Plan,0.55 %/tahun
