Keterangan,Rata-rata laju perubahan
Capaian TPB,5.22 %/tahun
Business as Usual,0.76 %/tahun
Upaya Tambahan berdasarkan Kondisi Daerah,-0.86 %/tahun
Upaya Tambahan dengan Green Growth Plan,-1.71 %/tahun
