Keterangan,Rata-rata laju perubahan
Capaian TPB,158.55 %/tahun
Business as Usual,3.15 %/tahun
Upaya Tambahan berdasarkan Kondisi Daerah,-4.11 %/tahun
Upaya Tambahan dengan Green Growth Plan,-8.21 %/tahun
