Keterangan,Rata-rata laju perubahan
Capaian TPB,1.05 %/tahun
Business as Usual,0.11 %/tahun
Upaya Tambahan berdasarkan Kondisi Daerah,0.11 %/tahun
Upaya Tambahan dengan Green Growth Plan,0.22 %/tahun
