Keterangan,Rata-rata laju perubahan
Capaian TPB,-0.11 %/tahun
Business as Usual,-0.41 %/tahun
Upaya Tambahan berdasarkan Kondisi Daerah,-0.71 %/tahun
Upaya Tambahan dengan Green Growth Plan,-1.43 %/tahun
