Keterangan,Rata-rata laju perubahan
Capaian TPB,2.81 %/tahun
Business as Usual,0.36 %/tahun
Upaya Tambahan berdasarkan Kondisi Daerah,-15.09 %/tahun
Upaya Tambahan dengan Green Growth Plan,-30.18 %/tahun
