Keterangan,Rata-rata laju perubahan
Capaian TPB,-2.84 %/tahun
Business as Usual,-0.45 %/tahun
Upaya Tambahan berdasarkan Kondisi Daerah,1.62 %/tahun
Upaya Tambahan dengan Green Growth Plan,3.24 %/tahun
