Keterangan,Rata-rata laju perubahan
Capaian TPB,93.45 %/tahun
Business as Usual,2.77 %/tahun
Upaya Tambahan berdasarkan Kondisi Daerah,-29.55 %/tahun
Upaya Tambahan dengan Green Growth Plan,-59.11 %/tahun
