Keterangan,Rata-rata laju perubahan
Capaian TPB,-20.68 %/tahun
Business as Usual,-20.29 %/tahun
Upaya Tambahan berdasarkan Kondisi Daerah,1.7 %/tahun
Upaya Tambahan dengan Green Growth Plan,3.39 %/tahun
