Keterangan,Rata-rata laju perubahan
Capaian TPB,3.4 %/tahun
Business as Usual,0.32 %/tahun
Upaya Tambahan berdasarkan Kondisi Daerah,1.45 %/tahun
Upaya Tambahan dengan Green Growth Plan,2.89 %/tahun
