Keterangan,Rata-rata laju perubahan
Capaian TPB,21.0 %/tahun
Business as Usual,1.62 %/tahun
Upaya Tambahan berdasarkan Kondisi Daerah,-8.61 %/tahun
Upaya Tambahan dengan Green Growth Plan,-17.23 %/tahun
