Keterangan,Rata-rata laju perubahan
Capaian TPB,26.53 %/tahun
Business as Usual,2.04 %/tahun
Upaya Tambahan berdasarkan Kondisi Daerah,-6.43 %/tahun
Upaya Tambahan dengan Green Growth Plan,-12.86 %/tahun
