Keterangan,Rata-rata laju perubahan
Capaian TPB,2820.89 %/tahun
Business as Usual,3.54 %/tahun
Upaya Tambahan berdasarkan Kondisi Daerah,-25.02 %/tahun
Upaya Tambahan dengan Green Growth Plan,-50.04 %/tahun
