Keterangan,Rata-rata laju perubahan
Capaian TPB,193.64 %/tahun
Business as Usual,3.35 %/tahun
Upaya Tambahan berdasarkan Kondisi Daerah,-7.11 %/tahun
Upaya Tambahan dengan Green Growth Plan,-14.21 %/tahun
