Keterangan,Rata-rata laju perubahan
Capaian TPB,0.0 %/tahun
Business as Usual,3.4 %/tahun
Upaya Tambahan berdasarkan Kondisi Daerah,7.42 %/tahun
Upaya Tambahan dengan Green Growth Plan,14.84 %/tahun
