Keterangan,Rata-rata laju perubahan
Capaian TPB,0.46 %/tahun
Business as Usual,-0.11 %/tahun
Upaya Tambahan berdasarkan Kondisi Daerah,0.15 %/tahun
Upaya Tambahan dengan Green Growth Plan,0.3 %/tahun
