Keterangan,Rata-rata laju perubahan
Capaian TPB,3.41 %/tahun
Business as Usual,0.15 %/tahun
Upaya Tambahan berdasarkan Kondisi Daerah,8.1 %/tahun
Upaya Tambahan dengan Green Growth Plan,16.2 %/tahun
