Keterangan,Rata-rata laju perubahan
Capaian TPB,-32.01 %/tahun
Business as Usual,0.95 %/tahun
Upaya Tambahan berdasarkan Kondisi Daerah,0.25 %/tahun
Upaya Tambahan dengan Green Growth Plan,0.51 %/tahun
