Keterangan,Rata-rata laju perubahan
Capaian TPB,1.97 %/tahun
Business as Usual,0.27 %/tahun
Upaya Tambahan berdasarkan Kondisi Daerah,0.23 %/tahun
Upaya Tambahan dengan Green Growth Plan,0.47 %/tahun
