Keterangan,Rata-rata laju perubahan
Capaian TPB,0.0 %/tahun
Business as Usual,-0.0 %/tahun
Upaya Tambahan berdasarkan Kondisi Daerah,15.21 %/tahun
Upaya Tambahan dengan Green Growth Plan,30.42 %/tahun
