Keterangan,Rata-rata laju perubahan
Capaian TPB,0.48 %/tahun
Business as Usual,0.07 %/tahun
Upaya Tambahan berdasarkan Kondisi Daerah,0.86 %/tahun
Upaya Tambahan dengan Green Growth Plan,1.71 %/tahun
