Keterangan,Rata-rata laju perubahan
Capaian TPB,-1.92 %/tahun
Business as Usual,-1.97 %/tahun
Upaya Tambahan berdasarkan Kondisi Daerah,0.15 %/tahun
Upaya Tambahan dengan Green Growth Plan,0.31 %/tahun
