Keterangan,Rata-rata laju perubahan
Capaian TPB,3.79 %/tahun
Business as Usual,0.34 %/tahun
Upaya Tambahan berdasarkan Kondisi Daerah,0.27 %/tahun
Upaya Tambahan dengan Green Growth Plan,0.53 %/tahun
